Fecha de notificación;Nombre departamento;ID de caso
2/12/2020 0:00;AMAZONAS;1
3/12/2020 0:00;AMAZONAS;3
4/12/2020 0:00;AMAZONAS;2
5/12/2020 0:00;AMAZONAS;1
6/12/2020 0:00;AMAZONAS;5
8/12/2020 0:00;AMAZONAS;6
9/12/2020 0:00;AMAZONAS;3
10/12/2020 0:00;AMAZONAS;10
11/12/2020 0:00;AMAZONAS;4
12/12/2020 0:00;AMAZONAS;5
13/12/2020 0:00;AMAZONAS;6
14/12/2020 0:00;AMAZONAS;1
15/12/2020 0:00;AMAZONAS;1
16/12/2020 0:00;AMAZONAS;2
17/12/2020 0:00;AMAZONAS;9
18/12/2020 0:00;AMAZONAS;7
19/12/2020 0:00;AMAZONAS;9
20/12/2020 0:00;AMAZONAS;2
21/12/2020 0:00;AMAZONAS;8
22/12/2020 0:00;AMAZONAS;15
23/12/2020 0:00;AMAZONAS;4
24/12/2020 0:00;AMAZONAS;6
25/12/2020 0:00;AMAZONAS;8
26/12/2020 0:00;AMAZONAS;2
27/12/2020 0:00;AMAZONAS;14
28/12/2020 0:00;AMAZONAS;19
29/12/2020 0:00;AMAZONAS;7
30/12/2020 0:00;AMAZONAS;5
31/12/2020 0:00;AMAZONAS;5
1/01/2021 0:00;AMAZONAS;5
2/01/2021 0:00;AMAZONAS;6
3/01/2021 0:00;AMAZONAS;9
4/01/2021 0:00;AMAZONAS;33
5/01/2021 0:00;AMAZONAS;18
6/01/2021 0:00;AMAZONAS;14
7/01/2021 0:00;AMAZONAS;11
8/01/2021 0:00;AMAZONAS;26
9/01/2021 0:00;AMAZONAS;23
10/01/2021 0:00;AMAZONAS;15
11/01/2021 0:00;AMAZONAS;16
12/01/2021 0:00;AMAZONAS;19
13/01/2021 0:00;AMAZONAS;6
14/01/2021 0:00;AMAZONAS;25
15/01/2021 0:00;AMAZONAS;29
16/01/2021 0:00;AMAZONAS;16
17/01/2021 0:00;AMAZONAS;27
18/01/2021 0:00;AMAZONAS;21
19/01/2021 0:00;AMAZONAS;35
20/01/2021 0:00;AMAZONAS;28
21/01/2021 0:00;AMAZONAS;49
22/01/2021 0:00;AMAZONAS;51
23/01/2021 0:00;AMAZONAS;30
24/01/2021 0:00;AMAZONAS;45
25/01/2021 0:00;AMAZONAS;32
26/01/2021 0:00;AMAZONAS;50
27/01/2021 0:00;AMAZONAS;34
28/01/2021 0:00;AMAZONAS;40
29/01/2021 0:00;AMAZONAS;65
30/01/2021 0:00;AMAZONAS;51
31/01/2021 0:00;AMAZONAS;69
1/02/2021 0:00;AMAZONAS;39
2/02/2021 0:00;AMAZONAS;41
3/02/2021 0:00;AMAZONAS;34
4/02/2021 0:00;AMAZONAS;45
5/02/2021 0:00;AMAZONAS;103
6/02/2021 0:00;AMAZONAS;41
7/02/2021 0:00;AMAZONAS;25
8/02/2021 0:00;AMAZONAS;58
9/02/2021 0:00;AMAZONAS;61
10/02/2021 0:00;AMAZONAS;45
11/02/2021 0:00;AMAZONAS;63
12/02/2021 0:00;AMAZONAS;52
13/02/2021 0:00;AMAZONAS;63
14/02/2021 0:00;AMAZONAS;31
15/02/2021 0:00;AMAZONAS;46
16/02/2021 0:00;AMAZONAS;26
17/02/2021 0:00;AMAZONAS;46
18/02/2021 0:00;AMAZONAS;47
19/02/2021 0:00;AMAZONAS;40
20/02/2021 0:00;AMAZONAS;29
21/02/2021 0:00;AMAZONAS;47
22/02/2021 0:00;AMAZONAS;61
23/02/2021 0:00;AMAZONAS;42
24/02/2021 0:00;AMAZONAS;56
25/02/2021 0:00;AMAZONAS;71
26/02/2021 0:00;AMAZONAS;20
27/02/2021 0:00;AMAZONAS;69
28/02/2021 0:00;AMAZONAS;38
1/03/2021 0:00;AMAZONAS;20
2/03/2021 0:00;AMAZONAS;13
3/03/2021 0:00;AMAZONAS;24
4/03/2021 0:00;AMAZONAS;20
5/03/2021 0:00;AMAZONAS;13
6/03/2021 0:00;AMAZONAS;10
7/03/2021 0:00;AMAZONAS;13
8/03/2021 0:00;AMAZONAS;27
9/03/2021 0:00;AMAZONAS;20
10/03/2021 0:00;AMAZONAS;18
11/03/2021 0:00;AMAZONAS;22
12/03/2021 0:00;AMAZONAS;28
13/03/2021 0:00;AMAZONAS;11
14/03/2021 0:00;AMAZONAS;8
15/03/2021 0:00;AMAZONAS;22
16/03/2021 0:00;AMAZONAS;14
17/03/2021 0:00;AMAZONAS;14
18/03/2021 0:00;AMAZONAS;16
19/03/2021 0:00;AMAZONAS;2
20/03/2021 0:00;AMAZONAS;12
21/03/2021 0:00;AMAZONAS;1
22/03/2021 0:00;AMAZONAS;6
23/03/2021 0:00;AMAZONAS;11
24/03/2021 0:00;AMAZONAS;37
25/03/2021 0:00;AMAZONAS;8
26/03/2021 0:00;AMAZONAS;10
27/03/2021 0:00;AMAZONAS;1
28/03/2021 0:00;AMAZONAS;14
29/03/2021 0:00;AMAZONAS;10
30/03/2021 0:00;AMAZONAS;6
31/03/2021 0:00;AMAZONAS;4
1/04/2021 0:00;AMAZONAS;3
2/04/2021 0:00;AMAZONAS;3
3/04/2021 0:00;AMAZONAS;6
4/04/2021 0:00;AMAZONAS;5
5/04/2021 0:00;AMAZONAS;7
6/04/2021 0:00;AMAZONAS;5
7/04/2021 0:00;AMAZONAS;4
8/04/2021 0:00;AMAZONAS;11
9/04/2021 0:00;AMAZONAS;4
10/04/2021 0:00;AMAZONAS;9
11/04/2021 0:00;AMAZONAS;6
12/04/2021 0:00;AMAZONAS;13
13/04/2021 0:00;AMAZONAS;6
14/04/2021 0:00;AMAZONAS;8
15/04/2021 0:00;AMAZONAS;10
16/04/2021 0:00;AMAZONAS;6
17/04/2021 0:00;AMAZONAS;8
18/04/2021 0:00;AMAZONAS;8
19/04/2021 0:00;AMAZONAS;4
20/04/2021 0:00;AMAZONAS;1
22/04/2021 0:00;AMAZONAS;4
23/04/2021 0:00;AMAZONAS;12
24/04/2021 0:00;AMAZONAS;15
25/04/2021 0:00;AMAZONAS;43
26/04/2021 0:00;AMAZONAS;21
27/04/2021 0:00;AMAZONAS;7
28/04/2021 0:00;AMAZONAS;4
29/04/2021 0:00;AMAZONAS;21
30/04/2021 0:00;AMAZONAS;5
1/05/2021 0:00;AMAZONAS;2
2/05/2021 0:00;AMAZONAS;11
3/05/2021 0:00;AMAZONAS;7
4/05/2021 0:00;AMAZONAS;3
6/05/2021 0:00;AMAZONAS;3
7/05/2021 0:00;AMAZONAS;7
8/05/2021 0:00;AMAZONAS;1
9/05/2021 0:00;AMAZONAS;4
10/05/2021 0:00;AMAZONAS;7
11/05/2021 0:00;AMAZONAS;4
12/05/2021 0:00;AMAZONAS;4
13/05/2021 0:00;AMAZONAS;9
14/05/2021 0:00;AMAZONAS;7
15/05/2021 0:00;AMAZONAS;4
16/05/2021 0:00;AMAZONAS;2
17/05/2021 0:00;AMAZONAS;1
18/05/2021 0:00;AMAZONAS;1
19/05/2021 0:00;AMAZONAS;1
20/05/2021 0:00;AMAZONAS;4
21/05/2021 0:00;AMAZONAS;7
24/05/2021 0:00;AMAZONAS;2
25/05/2021 0:00;AMAZONAS;2
26/05/2021 0:00;AMAZONAS;2
27/05/2021 0:00;AMAZONAS;2
28/05/2021 0:00;AMAZONAS;2
29/05/2021 0:00;AMAZONAS;2
30/05/2021 0:00;AMAZONAS;1
31/05/2021 0:00;AMAZONAS;1
1/06/2021 0:00;AMAZONAS;2
